iter	Logloss	AUC
238	0.1210027106	0.9735087512
239	0.1208792441	0.9736046752
240	0.1207490957	0.9737301142
241	0.1206645379	0.9738039019
242	0.120318652	0.9739308167
243	0.1202055142	0.9739426227
244	0.1200811295	0.9739898468
245	0.1198868839	0.9740592072
246	0.1197138388	0.9742525309
247	0.1194749724	0.9743174641
248	0.1194065374	0.9743396004
249	0.1191927287	0.974497506
250	0.1189711938	0.9747513356
251	0.1187647408	0.9747469083
252	0.1186034897	0.974736578
253	0.1184931252	0.9748192202
254	0.1182444047	0.9748723473
255	0.1180185049	0.9752442372
256	0.1178834742	0.9752486644
257	0.117790155	0.9753121218
258	0.1175707175	0.9753298309
259	0.1174770643	0.975502494
260	0.1171657128	0.9759585018
261	0.1170492721	0.9760618046
262	0.116798483	0.9763746643
263	0.1166853843	0.9763849945
264	0.1164122253	0.9765502789
265	0.1162294106	0.9765724152
266	0.1161171212	0.9765458517
267	0.1159810548	0.9767096603
268	0.1156779472	0.9769472566
269	0.1153771359	0.9771169682
270	0.1152240181	0.9772586405
271	0.1149097601	0.9775036156
272	0.1147813737	0.9776305304
273	0.1145660226	0.9777456391
274	0.1142257837	0.9780791594
275	0.1140440634	0.978231162
276	0.1139778999	0.9782473953
277	0.1136868435	0.9783964464
278	0.1135483736	0.9785071279
279	0.1134533453	0.9785764883
280	0.1133465128	0.9785794398
281	0.1132029718	0.9786133821
282	0.1130298854	0.9787034031
283	0.1129507532	0.9787004516
284	0.1127500282	0.9788406482
285	0.112414652	0.9791653139
286	0.1121302533	0.9792996074
287	0.1119838743	0.979332074
288	0.111611292	0.9797172457
289	0.1114798809	0.9797880818
290	0.1114044563	0.9798043151
291	0.1112051425	0.9798441604
292	0.1109344052	0.9799828813
293	0.1108307873	0.9799873085
294	0.1104985756	0.9801614474
295	0.1101213066	0.9805953189
296	0.1099547379	0.9806823884
297	0.1096295078	0.9809967238
298	0.1095600409	0.9809908208
299	0.1094297597	0.9810129571
300	0.1092423619	0.9811383962
301	0.1090836758	0.9811944748
302	0.1087469824	0.9815309465
303	0.1083862634	0.9818556123
304	0.1082168834	0.9818526608
305	0.1081179379	0.9818747971
306	0.1079304785	0.9819515363
307	0.10771398	0.9820651693
308	0.1076558793	0.9820843541
309	0.1073423571	0.9823116201
310	0.1071066428	0.982378029
311	0.1069628659	0.9824577197
312	0.1068720601	0.9824488651
313	0.1066293272	0.9827174523
314	0.1065698173	0.9827204038
315	0.1064309582	0.9828901154
316	0.1062097688	0.9829639031
317	0.1059730813	0.9829948939
318	0.1056325773	0.9831070511
319	0.105439861	0.983161654
320	0.1053113131	0.9832236357
321	0.1051438223	0.9833195596
322	0.1050517014	0.9833785898
323	0.104552767	0.983898055
324	0.1043643637	0.9839895517
325	0.1039744822	0.984233051
326	0.1037692279	0.9843230719
327	0.1036443303	0.9843452082
328	0.1032972758	0.9846521649
329	0.103247116	0.9846565922
330	0.1029655074	0.9848395856
331	0.102886794	0.9848307311
332	0.102765677	0.9848897612
333	0.1026088293	0.9849650246
334	0.1023739058	0.9851273575
335	0.1021471091	0.9852719813
336	0.1018379554	0.9854903928
337	0.1017946114	0.9855036746
338	0.1013943161	0.9856955226
339	0.1012570472	0.9857073286
340	0.1010360744	0.9857663587
341	0.1006309276	0.9859832945
342	0.1005549439	0.9860054308
343	0.1003834908	0.9861485788
344	0.1002794895	0.9861707152
345	0.1001780381	0.9862164635
346	0.1000914889	0.9862651634
347	0.09993169704	0.9863241935
348	0.09954995715	0.9864998082
349	0.09941962348	0.9866090139
350	0.09922236991	0.9866783743
351	0.09908289543	0.9866946076
352	0.09893908461	0.9867241227
353	0.09884111134	0.9867934831
354	0.09877246658	0.9868229981
355	0.09870783614	0.9868067649
356	0.09855804109	0.9868274254
357	0.09837611414	0.9868746495
358	0.09817813018	0.9869720492
359	0.09798377273	0.9870605944
360	0.09770686709	0.9872612969
361	0.09750458312	0.9873527936
362	0.09734251513	0.9874546206
363	0.09715868204	0.9875018447
364	0.09691447037	0.9876184292
365	0.09670719166	0.9876700806
366	0.09653502396	0.9877984711
367	0.09647824206	0.9878028984
368	0.0962364743	0.9879076769
369	0.09597068125	0.9880773885
370	0.09584784526	0.9880818158
371	0.09563446467	0.9882161093
372	0.09552598324	0.98818807
373	0.09546222558	0.9882175851
374	0.09536852828	0.988182167
375	0.09531516644	0.9881984003
376	0.0951721807	0.9882795667
377	0.09509003405	0.988289897
378	0.09485016736	0.9884315693
379	0.09469702036	0.9885245418
380	0.09447233755	0.9885953779
381	0.09440176152	0.9885850477
382	0.09428269229	0.988607184
383	0.09392569093	0.9889023346
384	0.09387633366	0.9889274224
385	0.09365191595	0.9890528615
386	0.09340575899	0.9891236976
387	0.0933083231	0.989187155
388	0.09309103313	0.9892845548
389	0.09298725151	0.9892727487
390	0.0926231298	0.9894882087
391	0.09252181607	0.989516248
392	0.09235458695	0.9896446386
393	0.09201870466	0.9897612231
394	0.09180336053	0.9898571471
395	0.09173761491	0.9898645258
396	0.09149894504	0.9899383135
397	0.09130082381	0.990048995
398	0.0909385747	0.9902039491
399	0.09078073395	0.9902777368
400	0.09052050822	0.990372185
401	0.09029212721	0.9904725362
402	0.09008378057	0.9905271391
403	0.08976597309	0.9907219385
404	0.08954371359	0.9907558809
405	0.08936982956	0.9909314955
406	0.08917261993	0.9910052832
407	0.08895039463	0.9911115374
408	0.08880224391	0.9911513828
409	0.08870003451	0.9911779463
410	0.08861088205	0.9912074614
411	0.08832825257	0.9913432307
412	0.08808915147	0.9914347274
413	0.08799563165	0.9914480092
414	0.08779141978	0.9915395059
415	0.08774215027	0.9915645937
416	0.08761429662	0.9916221481
417	0.08745344938	0.9917136448
418	0.08737816576	0.9917269266
419	0.0873198914	0.9917416841
420	0.08721971476	0.9918302293
421	0.08697218201	0.9919291048
422	0.08675249623	0.9920338833
423	0.08666784994	0.9920338833
424	0.08648791124	0.9920899619
425	0.08623514353	0.9921785071
426	0.08592590782	0.9923009947
427	0.08580414657	0.9923541218
428	0.0857065949	0.992346743
429	0.08548061377	0.99244857
430	0.08543704743	0.9924456185
431	0.08524351913	0.9925253092
432	0.08498392123	0.9926064756
433	0.08490241456	0.9926433694
434	0.08475496065	0.9926625542
435	0.0845188301	0.9927363419
436	0.08435213981	0.9928071781
437	0.08419732106	0.9928337416
438	0.0841260055	0.9928175083
439	0.08405249258	0.9928248871
440	0.08393294228	0.9928691597
441	0.08380523335	0.992903102
442	0.08357555781	0.9930137835
443	0.08341629613	0.9930728137
444	0.08329942983	0.9931598831
445	0.08324809802	0.9931834952
446	0.08296314317	0.9933015554
447	0.08274633802	0.9933856734
448	0.08262293838	0.9934122369
449	0.08251889483	0.9934506065
450	0.0822851628	0.9934919276
451	0.08216638923	0.9935347245
452	0.08209209045	0.993561288
453	0.08190269434	0.9936557363
454	0.08159354701	0.9937782238
455	0.08148043455	0.9938239721
456	0.08129296908	0.9938977598
457	0.08110883179	0.9939257991
458	0.08099678152	0.9939553142
459	0.08077998518	0.9940217231
460	0.08057378378	0.9941132198
461	0.08034414856	0.9941988135
462	0.08024435214	0.9942460376
463	0.08009668387	0.9942785042
464	0.07984651131	0.9943508161
465	0.07978168717	0.9943670494
466	0.07951435157	0.9944009917
467	0.07941458455	0.9944378855
468	0.07929748371	0.9944777309
469	0.07903107879	0.9946075972
470	0.07884312107	0.9946725303
471	0.07879051805	0.9947020454
472	0.07872260183	0.9946976181
473	0.07864906402	0.9946843364
474	0.07849614949	0.9947566483
475	0.07842037645	0.9947595998
476	0.07836871246	0.9947773088
477	0.07830029598	0.9947905906
478	0.0780743329	0.9948496207
479	0.07798258391	0.9948732328
480	0.07787664316	0.99487766
481	0.07750785114	0.9950281869
482	0.0773028023	0.9950990231
483	0.07713653482	0.9951182078
484	0.07698143435	0.9951491987
485	0.07683243818	0.9951993743
486	0.07659234352	0.9952834922
487	0.07645468348	0.9953159588
488	0.07631875211	0.9953808919
489	0.0761730904	0.9954384463
490	0.07608814323	0.9954605826
491	0.07595876953	0.9954532039
492	0.07574130147	0.9954989522
493	0.07546724363	0.9955402733
494	0.0752090698	0.9956184882
495	0.07513631895	0.995643576
496	0.0749092901	0.9956701396
